,LotArea,GarageArea,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,HalfBath,SalePrice
0,8450,548,856,1710,3,2,1,208500
1,9600,460,1262,1262,3,2,0,181500
2,11250,608,920,1786,3,2,1,223500
3,9550,642,756,1717,3,1,0,140000
4,14260,836,1145,2198,4,2,1,250000
5,14115,480,796,1362,1,1,1,143000
6,10084,636,1686,1694,3,2,0,307000
7,10382,484,1107,2090,3,2,1,200000
8,6120,468,952,1774,2,2,0,129900
9,7420,205,991,1077,2,1,0,118000
10,11200,384,1040,1040,3,1,0,129500
12,12968,352,912,912,2,1,0,144000
13,10652,840,1494,1494,3,2,0,279500
14,10920,352,1253,1253,2,1,1,157000
15,6120,576,832,854,2,1,0,132000
16,11241,480,1004,1004,2,1,0,149000
17,10791,516,0,1296,2,2,0,90000
18,13695,576,1114,1114,3,1,1,159000
19,7560,294,1029,1339,3,1,0,139000
20,14215,853,1158,2376,4,3,1,325300
21,7449,280,637,1108,3,1,0,139400
22,9742,534,1777,1795,3,2,0,230000
23,4224,572,1040,1060,3,1,0,129900
24,8246,270,1060,1060,3,1,0,154000
25,14230,890,1566,1600,3,2,0,256300
26,7200,576,900,900,3,1,0,134800
27,11478,772,1704,1704,3,2,0,306000
28,16321,319,1484,1600,2,1,0,207500
29,6324,240,520,520,1,1,0,68500
30,8500,250,649,1317,3,1,0,40000
31,8544,271,1228,1228,3,1,1,149350
32,11049,484,1234,1234,3,2,0,179900
33,10552,447,1398,1700,4,1,1,165500
34,7313,556,1561,1561,2,2,0,277500
35,13418,691,1117,2452,4,3,1,309000
36,10859,672,1097,1097,3,1,1,145000
37,8532,498,1297,1297,3,1,0,153000
38,7922,246,1057,1057,3,1,0,109000
39,6040,0,0,1152,2,2,0,82000
40,8658,440,1088,1324,3,2,0,160000
41,16905,308,1350,1328,2,1,1,170000
42,9180,504,840,884,2,1,0,144000
43,9200,308,938,938,3,1,0,130250
44,7945,300,1150,1150,3,1,0,141000
45,7658,576,1752,1752,2,2,0,319900
46,12822,670,1434,2149,1,1,1,239686
47,11096,826,1656,1656,3,2,0,249700
48,4456,0,736,1452,2,2,0,113000
49,7742,386,955,955,3,1,0,127000
50,13869,388,794,1470,3,2,0,177000
51,6240,528,816,1176,3,1,0,114500
52,8472,516,816,816,2,1,0,110000
54,7134,572,384,1360,3,1,0,130000
55,10175,576,1425,1425,3,2,0,180500
56,2645,480,970,1739,3,2,1,172500
57,11645,565,860,1720,3,2,1,196500
59,7200,352,780,780,2,1,0,124900
60,13072,576,1158,1158,3,1,1,158000
61,7200,288,530,1111,3,1,0,101000
62,6442,484,1370,1370,2,2,0,202500
63,10300,480,576,1710,3,2,0,140000
64,9375,645,1057,2034,3,2,1,219500
65,9591,852,1143,2473,4,2,1,317000
66,19900,576,1947,2207,3,2,0,180000
67,10665,558,1453,1479,3,2,0,226000
68,4608,220,747,747,2,1,0,80000
69,15593,667,1304,2287,3,2,0,225000
71,7599,360,845,845,2,1,0,129500
72,10141,427,832,1718,3,2,1,185000
73,10200,490,1086,1086,3,1,0,144900
74,5790,379,840,1605,3,2,0,107400
75,1596,297,462,988,2,1,0,91000
76,8475,283,952,952,2,1,0,135750
77,8635,240,672,1285,2,1,0,127000
78,10778,0,1768,1768,4,2,0,136500
79,10440,440,440,1230,2,1,1,110000
80,13000,509,896,2142,4,2,1,193500
81,4500,405,1237,1337,2,2,0,153500
82,10206,758,1563,1563,3,2,0,245000
83,8892,461,1065,1065,3,1,1,126500
84,8530,400,384,1474,3,2,1,168500
85,16059,462,1288,2417,4,2,1,260000
86,11911,400,684,1560,3,2,1,174000
87,3951,528,612,1224,2,2,1,164500
88,8470,0,1013,1526,2,1,0,85000
89,8070,0,990,990,3,1,0,123600
90,7200,420,0,1040,2,1,0,109900
91,8500,480,1235,1235,2,1,0,98600
92,13360,432,876,964,2,1,0,163500
93,7200,506,1214,2291,4,2,0,133900
94,9337,684,824,1786,3,2,1,204750
95,9765,420,680,1470,3,2,1,185000
96,10264,472,1588,1588,3,2,0,214000
97,10921,432,960,960,3,1,0,94750
98,10625,366,458,835,2,1,0,83000
99,9320,0,950,1225,3,1,1,128950
100,10603,480,1610,1610,3,2,0,205000
101,9206,476,741,1732,3,2,1,178000
102,7018,410,0,1535,4,2,0,118964
103,10402,740,1226,1226,3,2,0,198900
104,7758,240,1040,1818,4,1,1,169500
105,9375,648,1053,1992,3,2,1,250000
106,10800,273,641,1047,2,1,0,100000
107,6000,250,789,789,2,1,0,115000
108,8500,0,793,1517,3,2,0,115000
109,11751,546,1844,1844,3,2,0,190000
110,9525,325,994,1855,4,2,0,136900
111,7750,400,384,1430,3,2,1,180000
113,21000,450,1809,2259,3,2,0,217000
114,7259,180,1028,2320,3,2,1,259500
115,3230,440,729,1458,2,2,1,176000
116,11616,288,1092,1092,3,1,0,139000
117,8536,430,1125,1125,2,1,1,155000
119,8461,390,728,1456,3,2,1,163990
120,21453,540,938,988,1,1,0,180000
121,6060,264,732,1123,3,1,0,100000
122,9464,288,1080,1080,3,1,0,136000
123,7892,530,1199,1199,2,2,0,153900
124,17043,435,1362,1586,3,2,0,181000
125,6780,0,520,754,2,1,0,84500
126,4928,440,1078,958,2,2,0,128000
127,4388,0,672,840,3,1,0,87000
128,7590,453,660,1348,3,1,1,155000
129,8973,750,1008,1053,3,1,1,150000
130,14200,487,924,2157,4,2,1,226000
131,12224,390,992,2054,3,2,1,244000
132,7388,624,1063,1327,3,1,0,150750
133,6853,471,1267,1296,2,2,0,220000
134,10335,440,1461,1721,3,2,1,180000
135,10400,530,1304,1682,3,2,0,174000
136,10355,318,1214,1214,3,2,0,143000
137,11070,766,1907,1959,5,3,0,171000
138,9066,660,1004,1852,3,2,1,230000
139,15426,470,928,1764,3,2,1,231500
140,10500,0,864,864,3,1,0,115000
141,11645,660,1734,1734,3,2,0,260000
142,8520,720,910,1385,4,2,0,166000
143,10335,577,1490,1501,3,2,0,204000
145,2522,380,970,1709,3,2,0,130000
146,6120,180,715,875,2,1,0,105000
147,9505,434,884,2035,3,2,1,222500
148,7500,0,1080,1080,3,1,0,141000
149,6240,240,896,1344,3,1,0,115000
150,10356,440,969,969,3,1,1,122000
152,14803,495,825,1993,4,2,1,190000
153,13500,564,1602,1252,1,1,0,235000
154,11340,312,1200,1200,4,1,0,125000
155,9600,0,572,1096,2,1,0,79000
156,7200,625,0,1040,2,1,0,109500
157,12003,680,774,1968,4,2,1,269500
158,12552,678,991,1947,3,2,1,254900
159,19378,576,1392,2462,4,2,1,320000
160,11120,516,1232,1232,3,2,0,162500
162,12182,532,1541,1541,3,2,0,220000
163,5500,0,882,882,1,1,0,103200
164,5400,216,1149,1616,3,2,0,152000
165,10106,0,644,1355,4,2,0,127500
166,10708,303,1617,1867,2,1,0,190000
167,10562,789,1582,2161,3,1,1,325624
168,8244,440,840,1720,3,2,1,183500
169,16669,511,1686,1707,2,2,1,228000
170,12358,660,720,1382,2,1,1,128500
171,31770,528,1080,1656,3,1,0,215000
172,5306,504,1064,1767,2,2,0,239000
173,10197,504,1362,1362,3,1,1,163000
174,12416,616,1606,1651,3,2,0,184000
175,12615,576,1202,2158,4,2,0,243000
176,10029,521,1151,2060,4,2,1,211000
177,13650,451,1052,1920,4,2,0,172500
179,8520,480,968,968,2,1,0,100000
180,2117,440,756,1525,3,2,1,177000
181,7588,216,793,1802,4,1,1,200100
182,9060,252,0,1340,3,1,0,120000
183,11426,484,1362,2082,3,2,1,200000
184,7438,576,504,1252,3,1,0,127000
186,9947,497,1188,1217,3,2,0,173000
187,10410,180,660,1656,3,2,1,135000
190,10570,440,853,2727,3,2,1,315000
191,7472,484,725,1479,4,1,1,184000
192,9017,666,1431,1431,3,2,0,192000
193,2522,380,970,1709,3,2,0,130000
194,7180,352,864,864,3,1,0,127000
195,2280,440,855,1456,3,2,1,148500
196,9416,786,1726,1726,3,2,0,311872
198,5520,0,755,2229,5,1,0,104000
199,9591,856,1713,1713,3,2,0,274900
200,8546,440,1121,1121,2,2,0,140000
201,10125,473,1196,1279,3,2,0,171500
202,7000,398,617,1310,2,2,0,112000
203,4438,420,848,848,1,1,0,149000
204,3500,240,720,1284,2,1,1,110000
205,11851,500,1424,1442,3,2,0,180500
206,13673,349,1140,1696,3,1,1,143900
207,12493,312,1100,1100,3,1,0,141000
