LotArea,GarageArea,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,HalfBath,PredictedSalePrice
11622,730.0,882.0,896,2,1,0,147545.0
14267,312.0,1329.0,1329,3,1,1,174658.0
13830,482.0,928.0,1629,3,2,1,200191.0
9978,470.0,926.0,1604,3,2,1,193239.0
5005,506.0,1280.0,1280,2,2,0,183748.0
10000,440.0,763.0,1655,3,2,1,185678.0
7980,420.0,1168.0,1187,3,2,0,158804.0
8402,393.0,789.0,1465,3,2,1,171794.0
10176,506.0,1300.0,1341,2,1,1,194119.0
8400,525.0,882.0,882,2,1,0,128974.0
5858,511.0,1405.0,1337,2,2,0,194481.0
1680,264.0,483.0,987,2,1,1,107197.0
1680,320.0,525.0,1092,3,1,1,106518.0
2280,440.0,855.0,1456,3,2,1,170351.0
2280,308.0,836.0,836,2,1,0,102019.0
12858,751.0,1590.0,2334,3,2,1,288092.0
12883,868.0,1544.0,1544,3,2,0,233103.0
11520,730.0,1698.0,1698,3,2,0,238044.0
14122,678.0,1822.0,1822,3,2,0,250554.0
14300,958.0,2846.0,2696,3,2,1,386672.0
13650,756.0,1671.0,2250,3,2,1,289055.0
7132,484.0,1370.0,1370,2,2,0,194186.0
18494,430.0,1324.0,1324,3,2,0,187507.0
3203,437.0,1145.0,1145,2,2,0,162881.0
13300,400.0,384.0,1374,3,2,1,152928.0
8577,433.0,847.0,1733,3,2,1,191848.0
17433,962.0,1629.0,2475,4,2,1,305266.0
8987,880.0,1595.0,1595,2,2,0,246593.0
9215,676.0,1218.0,1218,2,2,0,193991.0
10440,528.0,1468.0,1468,2,2,0,211369.0
11920,484.0,831.0,1659,3,2,1,194665.0
9800,429.0,816.0,1012,2,1,0,127726.0
15410,461.0,1208.0,1494,3,2,0,188959.0
13143,762.0,1231.0,2349,4,2,1,259635.0
11134,713.0,1390.0,2225,4,2,1,255345.0
4835,506.0,1488.0,1488,2,2,0,205091.0
3515,588.0,840.0,1680,2,2,1,205151.0
3215,480.0,600.0,1200,2,2,1,159891.0
2544,480.0,600.0,1200,2,2,1,159070.0
2544,480.0,600.0,1236,2,2,1,160976.0
2980,440.0,756.0,1512,2,2,1,181319.0
